product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty
1,perfumaria,40.0,287.0,1.0
2,artes,44.0,276.0,1.0
3,esporte_lazer,46.0,250.0,1.0
4,bebes,27.0,261.0,1.0
5,utilidades_domesticas,37.0,402.0,4.0
6,instrumentos_musicais,60.0,745.0,1.0
7,cool_stuff,56.0,1272.0,4.0
8,moveis_decoracao,56.0,184.0,2.0
9,eletrodomesticos,57.0,163.0,1.0
10,brinquedos,36.0,1156.0,1.0
11,cama_mesa_banho,54.0,630.0,1.0
12,bebes,49.0,728.0,4.0
13,instrumentos_musicais,43.0,1827.0,3.0
14,moveis_decoracao,51.0,2083.0,2.0
15,construcao_ferramentas_seguranca,59.0,1602.0,4.0
16,esporte_lazer,22.0,3021.0,1.0
17,perfumaria,39.0,346.0,2.0
18,informatica_acessorios,59.0,636.0,1.0
19,moveis_decoracao,56.0,296.0,2.0
20,cama_mesa_banho,52.0,206.0,1.0
21,moveis_decoracao,27.0,158.0,4.0
22,cama_mesa_banho,27.0,329.0,2.0
23,beleza_saude,58.0,1987.0,3.0
24,bebes,55.0,1627.0,1.0
25,moveis_decoracao,56.0,209.0,1.0
26,utilidades_domesticas,52.0,968.0,1.0
27,malas_acessorios,52.0,573.0,5.0
28,informatica_acessorios,35.0,1101.0,2.0
29,informatica_acessorios,59.0,1890.0,2.0
30,esporte_lazer,50.0,529.0,2.0
31,cama_mesa_banho,45.0,206.0,1.0
32,ferramentas_jardim,49.0,1163.0,9.0
33,moveis_decoracao,60.0,208.0,1.0
34,moveis_escritorio,57.0,476.0,1.0
35,esporte_lazer,50.0,699.0,4.0
36,bebes,52.0,708.0,9.0
37,automotivo,43.0,1062.0,2.0
38,eletronicos,31.0,806.0,1.0
39,utilidades_domesticas,37.0,352.0,1.0
40,moveis_decoracao,47.0,502.0,1.0
41,moveis_decoracao,63.0,254.0,2.0
42,brinquedos,33.0,471.0,2.0
43,cama_mesa_banho,56.0,509.0,4.0
44,bebes,47.0,980.0,4.0
45,cool_stuff,38.0,1701.0,2.0
46,brinquedos,20.0,866.0,3.0
