order_id,payment_sequential,payment_type,payment_installments,payment_value
1,1,credit_card,8,99.33
2,1,credit_card,1,24.39
3,1,credit_card,1,65.71
4,1,credit_card,8,107.78
5,1,credit_card,2,128.45
6,1,credit_card,2,96.12
7,1,credit_card,1,81.16
8,1,credit_card,3,51.84
9,1,credit_card,6,341.09
10,1,boleto,1,51.95
11,1,credit_card,8,188.73
12,1,credit_card,1,141.9
13,1,credit_card,1,75.78
14,1,credit_card,5,102.66
15,1,credit_card,4,105.28
16,1,credit_card,10,157.45
17,1,credit_card,1,132.04
18,1,credit_card,1,98.94
19,1,credit_card,4,244.15
20,1,credit_card,3,136.71
21,1,credit_card,4,47.69
22,1,credit_card,2,170.57
23,1,credit_card,4,67.5
24,1,credit_card,10,353.09
25,1,boleto,1,330.66
26,2,voucher,1,45.17
27,1,credit_card,2,541.0
28,1,credit_card,2,139.22
29,1,credit_card,2,290.16
30,1,boleto,1,283.34
31,1,credit_card,1,13.78
32,1,credit_card,1,30.28
33,1,credit_card,1,26.58
34,1,credit_card,1,89.68
35,1,credit_card,1,65.09
36,1,credit_card,1,173.84
37,1,credit_card,1,103.49
38,1,credit_card,1,64.03
39,1,credit_card,3,157.15
40,1,boleto,1,130.88
41,1,credit_card,2,47.72
42,1,credit_card,8,117.74
43,1,boleto,1,56.6
44,1,credit_card,1,266.16
45,1,boleto,1,31.38
46,1,credit_card,1,121.49
47,1,credit_card,1,32.0
48,1,credit_card,5,153.41
49,1,credit_card,5,65.71
50,1,credit_card,4,278.22
51,1,credit_card,4,91.66
52,1,credit_card,1,132.51
53,1,credit_card,4,542.66
54,1,boleto,1,166.04
55,1,boleto,1,368.98
56,1,credit_card,2,113.2
57,1,credit_card,3,99.43
58,1,credit_card,2,27.35
59,1,credit_card,4,43.77
60,1,credit_card,2,68.49
61,1,credit_card,2,105.53
62,1,credit_card,8,387.8
63,1,boleto,1,84.14
64,1,credit_card,4,210.82
65,1,boleto,1,90.05
66,1,credit_card,1,67.88
67,1,credit_card,2,37.58
68,1,boleto,1,89.63
69,1,voucher,1,69.46
70,1,credit_card,2,78.3
71,1,voucher,1,50.8
72,1,credit_card,1,34.0
73,1,boleto,1,77.1
74,1,credit_card,5,566.4
75,1,credit_card,8,402.42
76,2,voucher,1,57.53
77,1,credit_card,3,44.01
78,1,credit_card,3,187.51
79,1,credit_card,3,77.7
80,1,credit_card,1,48.68
81,1,credit_card,1,77.29
82,1,credit_card,8,117.71
83,1,credit_card,3,169.34
84,1,credit_card,1,37.61
85,1,credit_card,1,13.8
86,1,debit_card,1,227.12
87,1,credit_card,3,34.78
88,1,credit_card,10,342.56
89,1,credit_card,7,73.34
90,1,credit_card,4,117.85
91,1,credit_card,1,48.62
92,1,credit_card,1,53.99
93,1,credit_card,1,51.14
94,1,credit_card,2,121.45
95,1,credit_card,1,73.34
96,1,credit_card,10,117.68
97,1,credit_card,1,56.77
98,1,credit_card,2,115.59
99,1,credit_card,6,60.07
100,1,credit_card,1,27.27
101,1,boleto,1,32.15
102,1,credit_card,3,195.71
103,2,voucher,1,43.12
104,1,credit_card,1,88.49
105,1,credit_card,3,34.09
106,1,credit_card,1,40.99
107,1,credit_card,3,71.99
108,1,boleto,1,47.0
109,1,credit_card,3,81.78
110,1,credit_card,3,231.45
111,1,credit_card,7,144.2
112,1,debit_card,1,35.14
113,1,credit_card,10,285.79
114,1,credit_card,2,176.7
115,1,credit_card,2,27.63
116,1,credit_card,8,134.56
117,1,credit_card,4,96.98
118,1,credit_card,2,110.03
119,1,credit_card,1,17.78
120,1,credit_card,1,44.0
121,1,credit_card,4,110.11
122,4,voucher,1,22.49
123,1,credit_card,4,46.63
124,1,boleto,1,52.21
125,1,credit_card,2,61.77
126,1,boleto,1,121.88
127,1,credit_card,1,75.75
128,1,credit_card,1,130.22
129,1,credit_card,3,57.53
130,1,credit_card,7,76.02
131,1,boleto,1,90.17
132,1,credit_card,1,31.0
133,1,credit_card,10,106.77
134,1,voucher,1,163.25
135,1,boleto,1,233.66
136,1,credit_card,1,163.08
137,1,credit_card,4,135.93
138,1,credit_card,1,267.05
139,1,credit_card,7,186.72
140,2,voucher,1,30.0
141,1,credit_card,4,97.28
142,1,credit_card,1,48.61
143,1,boleto,1,116.7
144,1,credit_card,1,41.42
145,1,boleto,1,42.19
146,1,credit_card,6,125.53
147,1,credit_card,5,92.76
148,1,credit_card,8,348.02
149,1,credit_card,2,203.3
150,1,credit_card,3,44.35
151,1,credit_card,10,116.05
152,1,boleto,1,85.14
153,1,credit_card,4,236.66
154,1,credit_card,4,220.3
155,1,credit_card,1,180.55
156,1,boleto,1,45.46
157,1,boleto,1,26.08
158,1,credit_card,1,375.74
159,1,credit_card,5,123.41
160,1,credit_card,10,379.07
161,1,credit_card,10,2027.16
162,1,credit_card,1,45.5
163,1,credit_card,1,91.17
164,1,boleto,1,93.26
165,2,voucher,1,30.0
166,1,credit_card,10,165.96
167,2,voucher,1,50.0
168,1,credit_card,10,1002.73
169,1,boleto,1,116.56
170,1,credit_card,2,240.52
171,1,credit_card,3,33.13
172,1,credit_card,1,213.9
173,1,credit_card,8,362.17
174,1,credit_card,2,88.72
175,1,credit_card,2,46.85
176,1,boleto,1,68.54
177,1,boleto,1,32.62
178,1,credit_card,8,340.08
179,1,boleto,1,82.06
180,1,credit_card,1,40.95
181,1,credit_card,3,67.01
182,5,voucher,1,20.0
183,2,voucher,1,76.9
184,1,credit_card,4,40.27
185,1,credit_card,8,242.1
186,1,boleto,1,207.24
187,1,credit_card,2,215.56
188,1,credit_card,1,39.92
189,1,credit_card,8,156.09
190,1,credit_card,2,131.5
191,1,boleto,1,137.73
192,1,credit_card,1,31.75
193,1,credit_card,8,348.77
194,1,credit_card,1,12.22
195,1,credit_card,4,139.87
196,1,credit_card,12,257.1
197,1,credit_card,3,269.46
198,1,credit_card,1,40.0
199,1,credit_card,10,350.09
200,2,credit_card,6,134.55
201,1,credit_card,3,112.73
202,1,boleto,1,72.05
203,1,credit_card,1,0.67
204,1,credit_card,2,77.77
205,1,credit_card,2,26.68
206,1,credit_card,1,371.42
207,1,credit_card,6,225.71
208,1,credit_card,3,103.79
209,1,boleto,1,65.0
210,2,voucher,1,69.8
211,2,voucher,1,20.09
212,1,credit_card,1,125.41
213,1,boleto,1,95.99
214,1,credit_card,2,25.33
215,1,credit_card,1,52.57
216,1,credit_card,2,145.58
217,1,credit_card,3,49.7
218,1,credit_card,1,47.43
219,1,credit_card,2,168.57
220,1,credit_card,1,133.81
221,2,voucher,1,1.23
222,1,boleto,1,123.82
223,1,credit_card,3,283.66
224,1,credit_card,1,89.88
225,1,boleto,1,32.38
226,1,credit_card,1,43.08
227,1,credit_card,1,254.58
228,2,voucher,1,48.91
229,1,credit_card,4,48.22
230,1,credit_card,6,67.58
231,1,credit_card,10,311.18
232,1,credit_card,4,154.14
233,1,credit_card,2,333.68
234,1,boleto,1,404.88
235,1,boleto,1,44.77
236,1,voucher,1,1302.42
237,1,credit_card,10,645.8
238,1,credit_card,1,186.39
239,1,credit_card,10,208.41
240,1,debit_card,1,76.39
241,1,credit_card,2,67.42
242,1,credit_card,4,232.05
243,1,boleto,1,69.33
244,1,credit_card,3,641.2
245,1,boleto,1,41.86
246,1,voucher,1,50.0
247,1,credit_card,1,106.96
248,1,credit_card,10,2288.31
249,1,boleto,1,69.9
250,1,boleto,1,88.08
251,1,credit_card,4,117.39
252,1,debit_card,1,194.91
253,1,debit_card,1,68.89
254,1,credit_card,2,151.51
255,1,credit_card,1,54.85
256,1,credit_card,1,103.68
257,1,debit_card,1,225.63
258,1,boleto,1,39.6
259,1,credit_card,10,159.18
260,1,credit_card,1,234.43
261,1,boleto,1,44.83
262,1,credit_card,4,205.44
263,1,credit_card,1,13.55
264,1,credit_card,1,221.96
265,1,credit_card,1,52.38
266,1,credit_card,9,131.47
267,1,credit_card,2,38.06
268,2,voucher,1,35.0
269,1,credit_card,3,143.65
270,1,credit_card,3,86.73
271,1,credit_card,5,118.35
272,1,credit_card,1,341.58
273,1,credit_card,2,105.42
274,1,credit_card,4,68.16
275,1,credit_card,10,357.97
276,3,voucher,1,2.99
277,1,boleto,1,92.57
278,1,credit_card,2,68.35
279,1,credit_card,13,197.23
